id,name,species,breed,age_years,sex,color,weight_kg,arrival_date,vaccinated,microchipped,energy_level,friendliness_level,personality_description,image_url
1,Bella,Cat,Sphynx,12.0,F,black,7.36,2024-03-14,False,True,1.3,5.2,This 12.0-year-old Sphynx cat is calm and relaxed and balanced temperament. Gentle soul. loves cozy spots curious about everything grooms meticulously. loves mealtime. Perfect for a quiet home. She would make a wonderful addition to the right home.,https://placecats.com/200/200
2,Whiskers,Cat,Sphynx,9.4,F,brown,2.64,2023-12-12,True,False,8.9,4.8,This 9.4-year-old Sphynx cat is loves to run and play and balanced temperament. Set in their ways. curious about everything gentle with children uses scratching post regularly. enjoys being brushed. Suited for apartment living. She would make a wonderful addition to the right home.,https://placecats.com/201/201
3,Lily,Dog,Chihuahua,7.9,F,grey,6.67,2025-08-05,True,False,1.7,6.9,This 7.9-year-old Chihuahua dog is sedentary lifestyle and moderately social. Senior with wisdom. loves fetch and outdoor games enjoys car rides needs daily exercise. enjoys being brushed. Needs a home with a yard. She would make a wonderful addition to the right home.,https://placedog.net/202
4,Bella,Cat,British Shorthair,0.4,F,black,5.14,2024-03-16,True,False,8.2,3.0,This 0.4-year-old British Shorthair cat is thrives on activity and reserved personality. Needs training and guidance. gentle with children uses scratching post regularly loves to chase toys. enjoys napping in sunbeams. Suited for apartment living. She would make a wonderful addition to the right home.,https://placecats.com/203/203
5,Leo,Dog,Husky,2.2,F,white,40.43,2024-04-07,False,False,2.3,7.2,This 2.2-year-old Husky dog is prefers lounging and loves everyone they meet. Fully grown. responds well to training protective of family enjoys dog parks and socializing. enjoys being brushed. Best with experienced pet owners. She would make a wonderful addition to the right home.,https://placedog.net/204
6,Duke,Cat,British Shorthair,1.6,F,orange,7.75,2025-05-14,False,True,2.0,5.2,This 1.6-year-old British Shorthair cat is prefers lounging and warms up after introduction. Exploring the world. independent but loving playful with laser pointers enjoys climbing and perching high. enjoys gentle petting. Would thrive in an active household. She would make a wonderful addition to the right home.,https://placecats.com/205/205
7,Rocky,Cat,Sphynx,0.7,M,gold,2.1,2024-09-12,True,True,7.0,8.8,This 0.7-year-old Sphynx cat is loves to run and play and loves everyone they meet. Exploring the world. uses scratching post regularly enjoys window watching enjoys climbing and perching high. enjoys being brushed. Wonderful for first-time owners. He would make a wonderful addition to the right home.,https://placecats.com/206/206
8,Bella,Cat,Maine Coon,3.0,M,gold,7.07,2025-02-05,True,False,3.8,6.4,This 3.0-year-old Maine Coon cat is mellowed with age and moderately social. In their prime. grooms meticulously purrs when content playful with laser pointers. loves mealtime. Suited for apartment living. He would make a wonderful addition to the right home.,https://placecats.com/207/207
9,Duke,Dog,Beagle,6.3,M,orange,42.81,2024-12-29,True,True,8.7,2.0,This 6.3-year-old Beagle dog is needs lots of exercise and takes time to trust. Settled into routines. excellent walking companion needs daily exercise loves treats and food puzzles. loves outdoor adventures. Wonderful for first-time owners. He would make a wonderful addition to the right home.,https://placedog.net/208
10,Buddy,Dog,Husky,13.2,F,white,21.03,2025-03-22,False,False,2.8,9.2,This 13.2-year-old Husky dog is sedentary lifestyle and very sociable. Senior with wisdom. protective of family good with children barks to communicate. loves interactive play. Suited for apartment living. She would make a wonderful addition to the right home.,https://placedog.net/209
11,Max,Cat,Ragdoll,5.7,F,cream,7.6,2024-01-05,False,False,5.8,4.9,This 5.7-year-old Ragdoll cat is moderately active and warms up after introduction. In their prime. purrs when content gentle with children enjoys climbing and perching high. loves interactive play. Suited for apartment living. She would make a wonderful addition to the right home.,https://placecats.com/210/210
12,Max,Cat,Sphynx,12.3,M,cream,2.92,2023-11-16,False,True,8.5,8.7,This 12.3-year-old Sphynx cat is always on the move and craves human attention. Set in their ways. gentle with children curious about everything playful with laser pointers. loves outdoor adventures. Would thrive in an active household. He would make a wonderful addition to the right home.,https://placecats.com/211/211
13,Buddy,Cat,Bengal,7.3,F,cream,2.24,2025-09-03,False,False,3.2,6.5,This 7.3-year-old Bengal cat is prefers lounging and affectionate with trusted people. Calmer with age. grooms meticulously loves to chase toys enjoys quiet environments. loves belly rubs. Great for families with kids. She would make a wonderful addition to the right home.,https://placecats.com/212/212
14,Sophie,Cat,Tabby,11.3,M,orange,6.71,2024-02-07,False,True,4.6,4.9,This 11.3-year-old Tabby cat is playful but not hyperactive and moderately social. Senior with wisdom. uses scratching post regularly playful with laser pointers enjoys quiet environments. loves interactive play. Wonderful for first-time owners. He would make a wonderful addition to the right home.,https://placecats.com/213/213
15,Milo,Dog,Beagle,10.8,M,mixed,41.96,2025-06-20,False,True,6.7,1.3,This 10.8-year-old Beagle dog is moderately active and prefers solitude. Experienced pet. enjoys car rides needs daily exercise responds well to training. loves belly rubs. Ideal for single owner. He would make a wonderful addition to the right home.,https://placedog.net/214
16,Molly,Dog,Chihuahua,10.1,M,orange,10.27,2024-03-18,False,False,1.2,4.0,This 10.1-year-old Chihuahua dog is sedentary lifestyle and friendly but selective. Calmer with age. enjoys car rides enjoys dog parks and socializing loves treats and food puzzles. enjoys gentle petting. Great for families with kids. He would make a wonderful addition to the right home.,https://placedog.net/215
17,Coco,Dog,Shepherd,4.4,M,brown,11.49,2023-12-21,True,False,5.5,9.1,This 4.4-year-old Shepherd dog is balanced energy and seeks out cuddles. Mature behavior. needs daily exercise loves treats and food puzzles needs mental stimulation. enjoys being brushed. Best with experienced pet owners. He would make a wonderful addition to the right home.,https://placedog.net/216
18,Sophie,Dog,Golden Retriever,6.3,F,grey,32.23,2025-06-19,True,True,6.4,8.0,This 6.3-year-old Golden Retriever dog is moderately active and extremely affectionate. Fully grown. good with children loves fetch and outdoor games enjoys car rides. enjoys being brushed. Great for families with kids. She would make a wonderful addition to the right home.,https://placedog.net/217
19,Oliver,Cat,British Shorthair,10.9,M,black,7.6,2024-04-13,True,True,8.3,9.7,This 10.9-year-old British Shorthair cat is needs lots of exercise and very sociable. Mature companion. enjoys quiet environments loves to chase toys independent but loving. enjoys being brushed. Ideal for single owner. He would make a wonderful addition to the right home.,https://placecats.com/218/218
20,Leo,Cat,Maine Coon,11.1,F,black,6.54,2025-07-19,False,False,3.6,2.8,This 11.1-year-old Maine Coon cat is prefers lounging and takes time to trust. Calmer with age. independent but loving gentle with children enjoys climbing and perching high. enjoys being brushed. Perfect for a quiet home. She would make a wonderful addition to the right home.,https://placecats.com/219/219
21,Lily,Cat,Persian,4.3,M,black,5.92,2025-09-13,False,True,4.3,7.1,This 4.3-year-old Persian cat is enjoys regular playtime and loves everyone they meet. Mature behavior. gentle with children grooms meticulously enjoys climbing and perching high. enjoys quiet companionship. Perfect for a quiet home. He would make a wonderful addition to the right home.,https://placecats.com/220/220
22,Buddy,Cat,Sphynx,0.3,M,grey,3.49,2024-03-20,False,False,7.1,6.7,This 0.3-year-old Sphynx cat is needs lots of exercise and warms up after introduction. Needs training and guidance. independent but loving enjoys climbing and perching high loves cozy spots. loves belly rubs. Would thrive in an active household. He would make a wonderful addition to the right home.,https://placecats.com/221/221
23,Charlie,Cat,Bengal,14.2,F,gold,5.13,2023-12-18,False,False,4.5,9.0,This 14.2-year-old Bengal cat is playful but not hyperactive and tail wags constantly. Set in their ways. loves to chase toys purrs when content enjoys quiet environments. loves belly rubs. Wonderful for first-time owners. She would make a wonderful addition to the right home.,https://placecats.com/222/222
24,Charlie,Cat,Tabby,4.5,F,orange,6.47,2025-08-26,False,False,3.9,9.4,This 4.5-year-old Tabby cat is enjoys quiet time and great with families. Established personality. independent but loving enjoys climbing and perching high curious about everything. loves interactive play. Perfect for a quiet home. She would make a wonderful addition to the right home.,https://placecats.com/223/223
25,Chloe,Cat,Tabby,4.4,F,gold,4.82,2024-02-25,True,False,8.7,9.0,This 4.4-year-old Tabby cat is very energetic and very sociable. In their prime. gentle with children uses scratching post regularly enjoys quiet environments. enjoys quiet companionship. Would thrive in an active household. She would make a wonderful addition to the right home.,https://placecats.com/224/224
26,Bella,Dog,Beagle,10.2,M,mixed,3.54,2024-07-08,False,True,8.4,8.8,This 10.2-year-old Beagle dog is always on the move and seeks out cuddles. Gentle soul. loves fetch and outdoor games protective of family barks to communicate. enjoys being brushed. Would thrive in an active household. He would make a wonderful addition to the right home.,https://placedog.net/225
27,Max,Dog,Husky,5.5,M,mixed,8.32,2025-07-17,True,False,6.8,7.1,This 5.5-year-old Husky dog is playful but not hyperactive and tail wags constantly. Settled into routines. enjoys car rides enjoys dog parks and socializing protective of family. enjoys gentle petting. Great for families with kids. He would make a wonderful addition to the right home.,https://placedog.net/226
28,Sophie,Cat,Siamese,0.8,F,white,5.45,2025-03-08,True,False,3.8,6.1,This 0.8-year-old Siamese cat is enjoys quiet time and balanced temperament. Very playful. playful with laser pointers loves to chase toys loves cozy spots. enjoys gentle petting. Ideal for single owner. She would make a wonderful addition to the right home.,https://placecats.com/227/227
29,Bella,Cat,Tabby,12.7,M,cream,3.49,2024-10-15,False,True,5.4,7.3,This 12.7-year-old Tabby cat is enjoys regular playtime and seeks out cuddles. Mature companion. playful with laser pointers uses scratching post regularly purrs when content. loves outdoor adventures. Best with experienced pet owners. He would make a wonderful addition to the right home.,https://placecats.com/228/228
30,Simba,Dog,Chihuahua,8.8,M,black,28.6,2024-02-14,True,True,1.4,7.2,This 8.8-year-old Chihuahua dog is prefers lounging and seeks out cuddles. Mature companion. enjoys car rides good with children excellent walking companion. enjoys gentle petting. Would thrive in an active household. He would make a wonderful addition to the right home.,https://placedog.net/229
31,Lily,Cat,Siamese,3.8,F,mixed,2.08,2023-12-17,True,True,2.6,2.3,This 3.8-year-old Siamese cat is prefers lounging and takes time to trust. Mature behavior. curious about everything purrs when content uses scratching post regularly. loves mealtime. Perfect for a quiet home. She would make a wonderful addition to the right home.,https://placecats.com/230/230
32,Molly,Dog,Husky,14.2,F,mixed,40.06,2025-01-17,False,False,7.5,6.0,This 14.2-year-old Husky dog is needs lots of exercise and moderately social. Calmer with age. enjoys car rides enjoys dog parks and socializing needs mental stimulation. enjoys being brushed. Great for families with kids. She would make a wonderful addition to the right home.,https://placedog.net/231
33,Bella,Cat,Siamese,7.3,F,mixed,5.5,2025-10-10,True,True,8.2,1.6,This 7.3-year-old Siamese cat is needs lots of exercise and prefers solitude. Senior with wisdom. purrs when content loves to chase toys enjoys quiet environments. loves belly rubs. Wonderful for first-time owners. She would make a wonderful addition to the right home.,https://placecats.com/232/232
34,Leo,Cat,Maine Coon,4.1,M,mixed,3.41,2025-04-26,False,False,3.9,4.7,This 4.1-year-old Maine Coon cat is calm and relaxed and moderately social. Established personality. enjoys climbing and perching high curious about everything loves to chase toys. enjoys gentle petting. Best with experienced pet owners. He would make a wonderful addition to the right home.,https://placecats.com/233/233
35,Shadow,Cat,British Shorthair,5.1,F,black,7.68,2025-01-27,False,True,3.5,7.2,This 5.1-year-old British Shorthair cat is enjoys quiet time and tail wags constantly. Fully grown. enjoys climbing and perching high curious about everything uses scratching post regularly. enjoys being brushed. Would thrive in an active household. She would make a wonderful addition to the right home.,https://placecats.com/234/234
36,Sophie,Cat,Bengal,5.4,M,black,4.03,2024-02-03,False,True,8.1,3.1,This 5.4-year-old Bengal cat is always on the move and selective with affection. Fully grown. curious about everything purrs when content enjoys quiet environments. loves outdoor adventures. Ideal for single owner. He would make a wonderful addition to the right home.,https://placecats.com/235/235
37,Rocky,Cat,Bengal,14.2,M,grey,6.86,2023-12-12,True,True,3.2,6.6,This 14.2-year-old Bengal cat is mellowed with age and balanced temperament. Experienced pet. enjoys window watching independent but loving playful with laser pointers. loves outdoor adventures. Suited for apartment living. He would make a wonderful addition to the right home.,https://placecats.com/236/236
38,Lily,Dog,Labrador,7.8,F,black,29.85,2024-02-29,False,True,7.7,7.9,This 7.8-year-old Labrador dog is always on the move and very sociable. Experienced pet. loves treats and food puzzles needs mental stimulation excellent walking companion. enjoys being brushed. Needs a home with a yard. She would make a wonderful addition to the right home.,https://placedog.net/237
39,Rocky,Dog,Poodle,13.6,M,black,40.12,2025-03-06,True,False,4.9,3.8,This 13.6-year-old Poodle dog is balanced energy and needs patient owner. Gentle soul. loves treats and food puzzles needs mental stimulation loves fetch and outdoor games. loves outdoor adventures. Ideal for single owner. He would make a wonderful addition to the right home.,https://placedog.net/238
40,Chloe,Cat,Siamese,7.2,F,mixed,2.87,2025-05-21,False,True,2.4,4.8,This 7.2-year-old Siamese cat is calm and relaxed and affectionate with trusted people. Set in their ways. purrs when content uses scratching post regularly grooms meticulously. loves interactive play. Needs a home with a yard. She would make a wonderful addition to the right home.,https://placecats.com/239/239
41,Rocky,Dog,Shepherd,9.0,F,cream,26.64,2024-02-27,True,False,7.6,8.5,This 9.0-year-old Shepherd dog is always on the move and very sociable. Set in their ways. excellent walking companion good with children enjoys car rides. enjoys napping in sunbeams. Needs a home with a yard. She would make a wonderful addition to the right home.,https://placedog.net/240
42,Chloe,Cat,Persian,3.3,M,grey,6.69,2025-05-02,True,False,6.3,9.9,This 3.3-year-old Persian cat is moderately active and loves everyone they meet. Fully grown. independent but loving enjoys window watching enjoys climbing and perching high. loves belly rubs. Ideal for single owner. He would make a wonderful addition to the right home.,https://placecats.com/241/241
43,Leo,Dog,Golden Retriever,9.8,M,black,31.99,2025-01-04,True,True,5.0,2.5,This 9.8-year-old Golden Retriever dog is likes both play and rest and needs patient owner. Mature companion. barks to communicate good with children needs mental stimulation. enjoys gentle petting. Perfect for a quiet home. He would make a wonderful addition to the right home.,https://placedog.net/242
44,Duke,Dog,Golden Retriever,10.4,F,orange,18.02,2024-02-27,False,True,3.2,2.3,This 10.4-year-old Golden Retriever dog is gentle and peaceful and takes time to trust. Set in their ways. enjoys dog parks and socializing loves fetch and outdoor games protective of family. enjoys napping in sunbeams. Would thrive in an active household. She would make a wonderful addition to the right home.,https://placedog.net/243
45,Princess,Dog,Chihuahua,5.1,M,brown,13.1,2025-05-01,False,False,4.9,2.3,This 5.1-year-old Chihuahua dog is playful but not hyperactive and reserved personality. In their prime. loyal companion enjoys dog parks and socializing barks to communicate. loves interactive play. Best with experienced pet owners. He would make a wonderful addition to the right home.,https://placedog.net/244
46,Lily,Dog,Bulldog,4.7,M,cream,17.47,2025-06-28,True,False,1.8,1.3,This 4.7-year-old Bulldog dog is gentle and peaceful and needs patient owner. Fully grown. enjoys dog parks and socializing good with children needs daily exercise. enjoys gentle petting. Suited for apartment living. He would make a wonderful addition to the right home.,https://placedog.net/245
47,Duke,Dog,Chihuahua,14.2,M,brown,9.24,2024-07-29,False,True,5.3,5.5,This 14.2-year-old Chihuahua dog is moderately active and warms up after introduction. Gentle soul. excellent walking companion enjoys dog parks and socializing needs daily exercise. enjoys quiet companionship. Would thrive in an active household. He would make a wonderful addition to the right home.,https://placedog.net/246
48,Molly,Dog,Chihuahua,10.7,M,gold,30.21,2025-01-26,True,True,1.6,5.7,This 10.7-year-old Chihuahua dog is gentle and peaceful and warms up after introduction. Experienced pet. needs mental stimulation excellent walking companion barks to communicate. loves mealtime. Needs a home with a yard. He would make a wonderful addition to the right home.,https://placedog.net/247
49,Lucy,Dog,Shepherd,12.2,F,orange,39.81,2024-03-30,True,True,9.4,8.0,This 12.2-year-old Shepherd dog is loves to run and play and extremely affectionate. Mature companion. responds well to training loyal companion excellent walking companion. enjoys quiet companionship. Ideal for single owner. She would make a wonderful addition to the right home.,https://placedog.net/248
50,Shadow,Dog,Bulldog,7.1,M,gold,23.4,2025-03-04,True,True,7.5,9.9,This 7.1-year-old Bulldog dog is always on the move and craves human attention. Experienced pet. enjoys dog parks and socializing needs mental stimulation enjoys car rides. enjoys being brushed. Best with experienced pet owners. He would make a wonderful addition to the right home.,https://placedog.net/249
